Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Stress
0.064,0.064,1,1,1,0,28.59309549,-0.102174189,-0.001517609,-5.203688801
0.065,0.065,1,1,1,0,28.5932892,-0.103196315,-0.002331231,-5.255745279
0.066,0.066,1,1,1,0,28.59324813,-0.103797205,-0.003551878,-5.286348321
0.067,0.067,1,1,1,0,28.59300552,-0.104556419,-0.003908444,-5.325014782
0.068,0.068,1,1,1,0,28.59272966,-0.105775334,-0.002394244,-5.387093613
0.069,0.069,1,1,1,0,28.59282531,-0.106811058,-0.000642259,-5.439842596
0.07,0.07,1,1,1,0,28.59320147,-0.1072146,-0.000275131,-5.460394825
0.071,0.071,1,1,1,0,28.59339798,-0.107946806,-0.001147222,-5.497685761
0.072,0.072,1,1,1,0,28.59313255,-0.109258201,-0.002286062,-5.564474578
0.073,0.073,1,1,1,0,28.59273981,-0.10982817,-0.003114436,-5.593502882
0.074,0.074,1,1,1,0,28.59254749,-0.109478924,-0.003510863,-5.575715931
0.075,0.075,1,1,1,0,28.59276682,-0.10944549,-0.003332254,-5.574013127
0.076,0.076,1,1,1,0,28.59258372,-0.109661091,-0.002163686,-5.584993605
0.077,0.077,1,1,1,0,28.59223597,-0.109602604,-0.00089474,-5.582014883
0.078,0.078,1,1,1,0,28.59201496,-0.109548867,-0.00055762,-5.579278064
0.079,0.079,1,1,1,0,28.59218745,-0.109432079,-0.001012515,-5.573330108
0.08,0.08,1,1,1,0,28.59267527,-0.110032968,-0.001836922,-5.60393315
0.081,0.081,1,1,1,0,28.59269222,-0.110730529,-0.002608262,-5.639459621
0.082,0.082,1,1,1,0,28.59238023,-0.110321119,-0.003104098,-5.618608571
0.083,0.083,1,1,1,0,28.59194586,-0.109585654,-0.003273897,-5.581151623
0.084,0.084,1,1,1,0,28.59203378,-0.109858066,-0.002429131,-5.595025445
0.085,0.085,1,1,1,0,28.59245958,-0.110816676,-0.001005661,-5.643847069
0.086,0.086,1,1,1,0,28.59275937,-0.111167412,-0.00049565,-5.661709911
0.087,0.087,1,1,1,0,28.59289059,-0.110521354,-0.001088791,-5.628806423
0.088,0.088,1,1,1,0,28.59270563,-0.109758787,-0.002067685,-5.589969208
0.089,0.089,1,1,1,0,28.59249543,-0.109733362,-0.002776626,-5.588674318
