Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Stress
3.193,3.193,1,1,1,0.25,28.86143867,7.82311568,0.967832692,398.4280167
3.194,3.194,1,1,1,0.25,28.86118917,7.816183474,0.969053619,398.0749623
3.195,3.195,1,1,1,0.25,28.86127997,7.809368428,0.969524477,397.7278749
3.196,3.196,1,1,1,0.25,28.86153068,7.802381739,0.968996286,397.3720457
3.197,3.197,1,1,1,0.25,28.86147676,7.795219216,0.968040023,397.0072614
3.198,3.198,1,1,1,0.25,28.8612891,7.787720952,0.967175644,396.625378
3.199,3.199,1,1,1,0.25,28.86077827,7.7801737,0.966399312,396.2409996
3.2,3.2,1,1,1,0.25,28.86046572,7.773050293,0.965657551,395.8782074
3.201,3.201,1,1,1,0.25,28.86039363,7.766256295,0.965949837,395.5321919
3.202,3.202,1,1,1,0.25,28.86049794,7.759241015,0.967283845,395.1749066
3.203,3.203,1,1,1,0.25,28.86066968,7.751733996,0.967998486,394.7925773
3.204,3.204,1,1,1,0.25,28.86055205,7.744143717,0.967521835,394.4060076
3.205,3.205,1,1,1,0.25,28.86037966,7.736884058,0.966536477,394.0362761
3.206,3.206,1,1,1,0.25,28.86009952,7.730308361,0.965686534,393.7013787
3.207,3.207,1,1,1,0.25,28.85983437,7.723358832,0.965037011,393.347442
3.208,3.208,1,1,1,0.25,28.85973193,7.716152072,0.964334775,392.9804048
3.209,3.209,1,1,1,0.25,28.85945002,7.70837022,0.964298788,392.5840783
3.21,3.21,1,1,1,0.25,28.85935903,7.700436749,0.965459738,392.1800299
3.211,3.211,1,1,1,0.25,28.85936843,7.693048101,0.966331586,391.8037291
3.212,3.212,1,1,1,0.25,28.85954129,7.685901038,0.966061316,391.4397322
3.213,3.213,1,1,1,0.25,28.85955907,7.67870089,0.965126306,391.0730317
3.214,3.214,1,1,1,0.25,28.85909854,7.671684492,0.964171309,390.7156895
3.215,3.215,1,1,1,0.25,28.85887623,7.66428886,0.963341594,390.339033
3.216,3.216,1,1,1,0.25,28.85885984,7.656861003,0.962657724,389.9607354
3.217,3.217,1,1,1,0.25,28.85888433,7.650098205,0.962608196,389.6163089
3.218,3.218,1,1,1,0.25,28.85876577,7.642447203,0.963658839,389.2266466
3.219,3.219,1,1,1,0.25,28.8585457,7.633595727,0.964648854,388.7758446
3.22,3.22,1,1,1,0.25,28.85840507,7.625497784,0.964668989,388.3634197
3.221,3.221,1,1,1,0.25,28.85820679,7.618905976,0.964089204,388.0277017
3.222,3.222,1,1,1,0.25,28.85821611,7.612160686,0.963281859,387.6841669
3.223,3.223,1,1,1,0.25,28.85842929,7.604693249,0.962398965,387.3038534
3.224,3.224,1,1,1,0.25,28.85852223,7.597085182,0.961483717,386.9163777
3.225,3.225,1,1,1,0.25,28.85818025,7.589752134,0.961017124,386.5429087
3.226,3.226,1,1,1,0.25,28.85755925,7.582183182,0.961811002,386.1574251
3.227,3.227,1,1,1,0.25,28.85730751,7.573889755,0.962904282,385.7350443
3.228,3.228,1,1,1,0.25,28.85722127,7.565581985,0.963114966,385.3119331
3.229,3.229,1,1,1,0.25,28.85721056,7.557911891,0.96241517,384.9212984
3.23,3.23,1,1,1,0.25,28.85726141,7.550508622,0.961273033,384.544253
3.231,3.231,1,1,1,0.25,28.85700846,7.543196715,0.960255805,384.1718606
3.232,3.232,1,1,1,0.25,28.85655127,7.536024228,0.95957512,383.8065688
3.233,3.233,1,1,1,0.25,28.85620631,7.528564613,0.959494486,383.4266538
3.234,3.234,1,1,1,0.25,28.85632273,7.520700619,0.960509367,383.0261438
3.235,3.235,1,1,1,0.25,28.85653619,7.512685284,0.961592291,382.6179262
3.236,3.236,1,1,1,0.25,28.8563245,7.50508178,0.961639266,382.2306829
3.237,3.237,1,1,1,0.25,28.8561455,7.497335691,0.960797109,381.8361778
3.238,3.238,1,1,1,0.25,28.855896,7.489371486,0.95974477,381.4305642
3.239,3.239,1,1,1,0.25,28.85600571,7.481205184,0.958980359,381.0146578
3.24,3.24,1,1,1,0.25,28.85601092,7.474016212,0.958440304,380.6485265
3.241,3.241,1,1,1,0.25,28.85578712,7.466761302,0.958008077,380.2790369
3.242,3.242,1,1,1,0.25,28.85552552,7.458472718,0.958566014,379.8569028
3.243,3.243,1,1,1,0.25,28.85521287,7.449665759,0.959534161,379.408368
3.244,3.244,1,1,1,0.25,28.85525376,7.441546116,0.959682502,378.994838
3.245,3.245,1,1,1,0.25,28.85526465,7.433909457,0.959059857,378.6059062
3.246,3.246,1,1,1,0.25,28.85499811,7.426086999,0.958286077,378.2075117
3.247,3.247,1,1,1,0.25,28.85496551,7.417955715,0.957621448,377.7933888
3.248,3.248,1,1,1,0.25,28.85467056,7.410080545,0.956919063,377.3923096
3.249,3.249,1,1,1,0.25,28.85461831,7.401966024,0.956290029,376.9790405
3.25,3.25,1,1,1,0.25,28.85483503,7.393709198,0.956564527,376.5585237
3.251,3.251,1,1,1,0.25,28.85484612,7.385954633,0.957400575,376.163587
3.252,3.252,1,1,1,0.25,28.85458181,7.378249429,0.957827196,375.7711642
3.253,3.253,1,1,1,0.25,28.85410478,7.370121963,0.957510062,375.3572357
3.254,3.254,1,1,1,0.25,28.85370292,7.362001762,0.956682339,374.9436773
3.255,3.255,1,1,1,0.25,28.85342846,7.354638539,0.955758076,374.5686714
3.256,3.256,1,1,1,0.25,28.85338534,7.347450405,0.954933483,374.2025827
3.257,3.257,1,1,1,0.25,28.85345863,7.339049317,0.954199564,373.7747188
3.258,3.258,1,1,1,0.25,28.85316648,7.329898793,0.95441727,373.3086865
3.259,3.259,1,1,1,0.25,28.85283781,7.321264315,0.955675393,372.8689361
3.26,3.26,1,1,1,0.25,28.85262212,7.313218247,0.956492424,372.4591532
3.261,3.261,1,1,1,0.25,28.8524095,7.304972783,0.956099574,372.0392152
3.262,3.262,1,1,1,0.25,28.85250635,7.296651695,0.955059864,371.6154256
3.263,3.263,1,1,1,0.25,28.85236312,7.288984396,0.954145547,371.2249333
3.264,3.264,1,1,1,0.25,28.85216326,7.281802502,0.953458175,370.8591624
3.265,3.265,1,1,1,0.25,28.85202821,7.273983769,0.952836201,370.4609576
3.266,3.266,1,1,1,0.25,28.8519959,7.265221048,0.95291838,370.0146759
3.267,3.267,1,1,1,0.25,28.85202784,7.256572135,0.95386561,369.5741904
3.268,3.268,1,1,1,0.25,28.85174397,7.248167973,0.954374131,369.1461699
3.269,3.269,1,1,1,0.25,28.85160912,7.239423413,0.953969508,368.7008131
3.27,3.27,1,1,1,0.25,28.85151897,7.230967097,0.953124408,368.2701365
3.271,3.271,1,1,1,0.25,28.85148274,7.223028969,0.952317901,367.8658509
3.272,3.272,1,1,1,0.25,28.85172293,7.214992959,0.951693431,367.4565803
3.273,3.273,1,1,1,0.25,28.85177387,7.206699532,0.951140132,367.0341995
3.274,3.274,1,1,1,0.25,28.85140628,7.198541705,0.951044057,366.6187248
3.275,3.275,1,1,1,0.25,28.85099947,7.190245204,0.951862466,366.1961874
3.276,3.276,1,1,1,0.25,28.85079281,7.181679364,0.952503048,365.7599328
3.277,3.277,1,1,1,0.25,28.85059528,7.172898017,0.952298697,365.3127024
3.278,3.278,1,1,1,0.25,28.85014564,7.164468896,0.951621663,364.8834108
3.279,3.279,1,1,1,0.25,28.85015011,7.155819982,0.950885396,364.4429253
3.28,3.28,1,1,1,0.25,28.85008631,7.14713363,0.950060152,364.000533
3.281,3.281,1,1,1,0.25,28.84990266,7.138377894,0.949162915,363.554607
3.282,3.282,1,1,1,0.25,28.84964533,7.129983976,0.948707312,363.1271083
3.283,3.283,1,1,1,0.25,28.84922409,7.121986523,0.949573033,362.7198013
3.284,3.284,1,1,1,0.25,28.84874549,7.113894913,0.950672459,362.307699
3.285,3.285,1,1,1,0.25,28.84847512,7.105343509,0.950791743,361.8721796
3.286,3.286,1,1,1,0.25,28.84873226,7.095967885,0.950052552,361.3946829
3.287,3.287,1,1,1,0.25,28.84916905,7.086349744,0.94912529,360.904835
3.288,3.288,1,1,1,0.25,28.84930559,7.07790684,0.948269349,360.4748414
3.289,3.289,1,1,1,0.25,28.84902637,7.070286758,0.947528239,360.0867539
3.29,3.29,1,1,1,0.25,28.84868123,7.062207069,0.947228316,359.6752587
3.291,3.291,1,1,1,0.25,28.84862199,7.053433452,0.948079359,359.228422
3.292,3.292,1,1,1,0.25,28.84859648,7.044319995,0.949006733,358.7642774
3.293,3.293,1,1,1,0.25,28.84841319,7.035007235,0.948934574,358.2899825
3.294,3.294,1,1,1,0.25,28.84815987,7.026383933,0.948045235,357.8508013
3.295,3.295,1,1,1,0.25,28.8477785,7.018377073,0.947021767,357.4430153
3.296,3.296,1,1,1,0.25,28.84759009,7.010258641,0.946368556,357.0295469
3.297,3.297,1,1,1,0.25,28.84757351,7.001309842,0.94574051,356.5737883
3.298,3.298,1,1,1,0.25,28.84739703,6.99160723,0.945092961,356.0796383
3.299,3.299,1,1,1,0.25,28.84724857,6.982486043,0.94550997,355.6151001
3.3,3.3,1,1,1,0.25,28.84691032,6.973898504,0.946586411,355.1777403
3.301,3.301,1,1,1,0.25,28.84669499,6.96524391,0.946894549,354.7369654
3.302,3.302,1,1,1,0.25,28.84661723,6.956519186,0.946147684,354.2926189
3.303,3.303,1,1,1,0.25,28.84656638,6.947412901,0.945087653,353.8288396
3.304,3.304,1,1,1,0.25,28.8465688,6.937923934,0.944355093,353.3455705
3.305,3.305,1,1,1,0.25,28.84623567,6.929145195,0.943927132,352.8984729
3.306,3.306,1,1,1,0.25,28.84610426,6.921050418,0.94346825,352.4862094
3.307,3.307,1,1,1,0.25,28.84609355,6.912294589,0.943799894,352.0402786
3.308,3.308,1,1,1,0.25,28.84595981,6.902774051,0.944701452,351.5554016
3.309,3.309,1,1,1,0.25,28.84578034,6.893557776,0.945035443,351.0860205
3.31,3.31,1,1,1,0.25,28.84540027,6.884806696,0.944528878,350.6403317
3.311,3.311,1,1,1,0.25,28.84515328,6.876621302,0.943632741,350.223453
3.312,3.312,1,1,1,0.25,28.84497158,6.86852634,0.942720044,349.8111799
3.313,3.313,1,1,1,0.25,28.84487845,6.859306712,0.94194876,349.3416282
3.314,3.314,1,1,1,0.25,28.8449713,6.84893392,0.941347536,348.8133462
3.315,3.315,1,1,1,0.25,28.8446133,6.838897988,0.94169233,348.3022204
3.316,3.316,1,1,1,0.25,28.8442485,6.830332708,0.942834076,347.8659942
3.317,3.317,1,1,1,0.25,28.84406373,6.822215579,0.943462867,347.4525923
3.318,3.318,1,1,1,0.25,28.84390298,6.813365035,0.943007879,347.0018377
3.319,3.319,1,1,1,0.25,28.84384533,6.804098655,0.941837505,346.5299048
3.32,3.32,1,1,1,0.25,28.8436424,6.794448849,0.940607712,346.0384443
3.321,3.321,1,1,1,0.25,28.84366959,6.784931943,0.939703044,345.5537522
3.322,3.322,1,1,1,0.25,28.8435217,6.775866356,0.939144529,345.0920456
3.323,3.323,1,1,1,0.25,28.84319043,6.766890176,0.93941886,344.6348925
3.324,3.324,1,1,1,0.25,28.84317879,6.757850572,0.940507781,344.1745093
3.325,3.325,1,1,1,0.25,28.84325851,6.749268435,0.941122305,343.7374246
3.326,3.326,1,1,1,0.25,28.84362843,6.74097091,0.940793548,343.3148351
3.327,3.327,1,1,1,0.25,28.84369884,6.732174009,0.939920358,342.8668127
3.328,3.328,1,1,1,0.25,28.84303555,6.723261159,0.939001609,342.4128849
3.329,3.329,1,1,1,0.25,28.84219773,6.714249775,0.938106384,341.9539389
3.33,3.33,1,1,1,0.25,28.84166222,6.70507066,0.937325377,341.4864504
3.331,3.331,1,1,1,0.25,28.84168383,6.695795991,0.937336404,341.0140954
3.332,3.332,1,1,1,0.25,28.84184606,6.686404161,0.93831962,340.5357734
3.333,3.333,1,1,1,0.25,28.84182902,6.677153427,0.939061679,340.0646374
3.334,3.334,1,1,1,0.25,28.84165514,6.66815564,0.938899163,339.6063839
3.335,3.335,1,1,1,0.25,28.84137407,6.658618338,0.938071366,339.1206531
3.336,3.336,1,1,1,0.25,28.84136206,6.648068968,0.937151089,338.583378
3.337,3.337,1,1,1,0.25,28.84101793,6.638000626,0.936250519,338.0706016
3.338,3.338,1,1,1,0.25,28.84042663,6.629406754,0.935348142,337.6329192
3.339,3.339,1,1,1,0.25,28.8403511,6.621281616,0.934951603,337.2191094
3.34,3.34,1,1,1,0.25,28.84047581,6.612794381,0.935865138,336.786858
3.341,3.341,1,1,1,0.25,28.8405817,6.603143085,0.936834458,336.2953215
3.342,3.342,1,1,1,0.25,28.8404258,6.59279516,0.936856363,335.768306
3.343,3.343,1,1,1,0.25,28.83990016,6.583018415,0.936137643,335.2703805
3.344,3.344,1,1,1,0.25,28.83971436,6.574218534,0.935198311,334.8222062
3.345,3.345,1,1,1,0.25,28.83968595,6.565630157,0.934200026,334.3848038
3.346,3.346,1,1,1,0.25,28.83963538,6.556923315,0.933285542,333.941368
3.347,3.347,1,1,1,0.25,28.83960791,6.547728181,0.932869837,333.4730636
3.348,3.348,1,1,1,0.25,28.83969806,6.537773833,0.933760144,332.9660928
3.349,3.349,1,1,1,0.25,28.83978235,6.527420599,0.934842322,332.4388069
3.35,3.35,1,1,1,0.25,28.83967757,6.517212372,0.934805069,331.9189062
3.351,3.351,1,1,1,0.25,28.83941978,6.508125924,0.933777094,331.4561372
3.352,3.352,1,1,1,0.25,28.83888921,6.499493401,0.932580568,331.0164864
3.353,3.353,1,1,1,0.25,28.83857889,6.490411982,0.931742471,330.5539735
3.354,3.354,1,1,1,0.25,28.83846853,6.480908021,0.931257177,330.0699408
3.355,3.355,1,1,1,0.25,28.83815644,6.471008714,0.931095984,329.5657732
3.356,3.356,1,1,1,0.25,28.83826159,6.461040024,0.931805465,329.0580719
3.357,3.357,1,1,1,0.25,28.83830089,6.451267283,0.932635609,328.5603504
3.358,3.358,1,1,1,0.25,28.83797958,6.441621203,0.932623744,328.0690795
3.359,3.359,1,1,1,0.25,28.83746931,6.432435568,0.931968428,327.601259
3.36,3.36,1,1,1,0.25,28.83709343,6.423529796,0.931224432,327.1476917
3.361,3.361,1,1,1,0.25,28.83724803,6.414378621,0.930460654,326.6816262
3.362,3.362,1,1,1,0.25,28.83723471,6.405067258,0.929647312,326.2074023
3.363,3.363,1,1,1,0.25,28.83697888,6.394993793,0.928996522,325.694365
3.364,3.364,1,1,1,0.25,28.83680156,6.384579558,0.929427333,325.1639723
3.365,3.365,1,1,1,0.25,28.83646246,6.374453288,0.930339899,324.6482456
3.366,3.366,1,1,1,0.25,28.83615373,6.364894193,0.930562057,324.1614049
3.367,3.367,1,1,1,0.25,28.83589305,6.355717313,0.929928385,323.6940302
3.368,3.368,1,1,1,0.25,28.83571731,6.346103456,0.929047279,323.2044005
3.369,3.369,1,1,1,0.25,28.83567857,6.335786358,0.928343367,322.678955
3.37,3.37,1,1,1,0.25,28.8355574,6.325947773,0.927507188,322.17788
3.371,3.371,1,1,1,0.25,28.83531945,6.316277478,0.92651207,321.6853759
3.372,3.372,1,1,1,0.25,28.83524401,6.306685042,0.926642641,321.1968371
3.373,3.373,1,1,1,0.25,28.83525798,6.29683286,0.927973706,320.6950696
3.374,3.374,1,1,1,0.25,28.83515963,6.287163962,0.92871787,320.2026367
3.375,3.375,1,1,1,0.25,28.8350367,6.27762787,0.928188208,319.7169675
3.376,3.376,1,1,1,0.25,28.83503316,6.267985422,0.927001908,319.2258817
3.377,3.377,1,1,1,0.25,28.83476987,6.258350983,0.925884452,318.7352037
3.378,3.378,1,1,1,0.25,28.83401252,6.248849817,0.925100688,318.2513133
3.379,3.379,1,1,1,0.25,28.83359995,6.239118055,0.924536884,317.7556787
3.38,3.38,1,1,1,0.25,28.83364297,6.228992809,0.924825314,317.2400041
3.381,3.381,1,1,1,0.25,28.83403068,6.218839064,0.925930049,316.7228782
3.382,3.382,1,1,1,0.25,28.83394044,6.208659429,0.926404037,316.2044336
3.383,3.383,1,1,1,0.25,28.83351082,6.198868714,0.925739724,315.7057966
3.384,3.384,1,1,1,0.25,28.83328926,6.189675815,0.924769491,315.2376061
3.385,3.385,1,1,1,0.25,28.83292073,6.180256326,0.923935529,314.7578754
3.386,3.386,1,1,1,0.25,28.83257736,6.170264725,0.923179835,314.2490073
3.387,3.387,1,1,1,0.25,28.83236418,6.160282623,0.922411773,313.740623
3.388,3.388,1,1,1,0.25,28.83229963,6.150472164,0.922444221,313.2409805
3.389,3.389,1,1,1,0.25,28.83222708,6.140558794,0.923417117,312.7360967
3.39,3.39,1,1,1,0.25,28.83188808,6.130386982,0.924048088,312.2180505
3.391,3.391,1,1,1,0.25,28.831542,6.120254844,0.923635922,311.702025
3.392,3.392,1,1,1,0.25,28.83163849,6.110446528,0.922623798,311.2024915
3.393,3.393,1,1,1,0.25,28.83169623,6.100710668,0.921728555,310.7066482
3.394,3.394,1,1,1,0.25,28.83155337,6.090882327,0.921097752,310.206095
3.395,3.395,1,1,1,0.25,28.83112431,6.080634613,0.920337625,309.6841831
3.396,3.396,1,1,1,0.25,28.83101674,6.070304196,0.920042694,309.1580593
3.397,3.397,1,1,1,0.25,28.83120161,6.060345564,0.920881741,308.6508703
3.398,3.398,1,1,1,0.25,28.83116761,6.050262321,0.921673514,308.137335
3.399,3.399,1,1,1,0.25,28.83087536,6.04003435,0.921520069,307.6164287
3.4,3.4,1,1,1,0.25,28.83041874,6.030658353,0.920749754,307.1389131
3.401,3.401,1,1,1,0.25,28.83026237,6.021656469,0.919819549,306.6804509
3.402,3.402,1,1,1,0.25,28.83006791,6.011864077,0.918888431,306.1817285
3.403,3.403,1,1,1,0.25,28.8299798,6.001430284,0.918033198,305.6503397
3.404,3.404,1,1,1,0.25,28.82995326,5.990702379,0.917693079,305.103972
3.405,3.405,1,1,1,0.25,28.82966166,5.980316363,0.918651838,304.5750165
3.406,3.406,1,1,1,0.25,28.82917216,5.970421433,0.919744596,304.0710719
3.407,3.407,1,1,1,0.25,28.82875353,5.960670207,0.919618718,303.574446
3.408,3.408,1,1,1,0.25,28.82879172,5.950660538,0.91853885,303.0646577
3.409,3.409,1,1,1,0.25,28.82900015,5.939867161,0.917382706,302.5149556
3.41,3.41,1,1,1,0.25,28.82898701,5.929403473,0.916461553,301.9820443
3.411,3.411,1,1,1,0.25,28.82874012,5.919158459,0.915814135,301.46027
3.412,3.412,1,1,1,0.25,28.82829495,5.908982828,0.915414207,300.9420294
3.413,3.413,1,1,1,0.25,28.82803567,5.899123009,0.915965997,300.4398729
3.414,3.414,1,1,1,0.25,28.82814528,5.889580958,0.916884728,299.9539002
3.415,3.415,1,1,1,0.25,28.8281708,5.879663583,0.916958619,299.4488124
3.416,3.416,1,1,1,0.25,28.82801313,5.869280174,0.916137379,298.9199898
3.417,3.417,1,1,1,0.25,28.8273979,5.859077163,0.915059205,298.4003547
3.418,3.418,1,1,1,0.25,28.82677345,5.849202629,0.914225616,297.8974488
3.419,3.419,1,1,1,0.25,28.82668804,5.838928558,0.913564861,297.3741946
3.42,3.42,1,1,1,0.25,28.82697359,5.828507803,0.912978798,296.8434699
3.421,3.421,1,1,1,0.25,28.82720754,5.818125419,0.913514923,296.3146995
3.422,3.422,1,1,1,0.25,28.82689433,5.807837937,0.914680678,295.7907623
3.423,3.423,1,1,1,0.25,28.82645084,5.79765765,0.914929938,295.2722845
3.424,3.424,1,1,1,0.25,28.82626541,5.787873082,0.914169643,294.7739605
3.425,3.425,1,1,1,0.25,28.82622676,5.778367724,0.913164895,294.2898566
3.426,3.426,1,1,1,0.25,28.8262656,5.768526345,0.912383236,293.7886393
3.427,3.427,1,1,1,0.25,28.82590704,5.757687986,0.911699776,293.2366462
3.428,3.428,1,1,1,0.25,28.82530335,5.747037102,0.910957437,292.6942011
3.429,3.429,1,1,1,0.25,28.82492626,5.736519862,0.9110732,292.1585625
3.43,3.43,1,1,1,0.25,28.82470107,5.72571326,0.911974851,291.6081868
3.431,3.431,1,1,1,0.25,28.82486023,5.715675,0.91242129,291.0969424
3.432,3.432,1,1,1,0.25,28.82487811,5.706261937,0.911958404,290.617539
3.433,3.433,1,1,1,0.25,28.82448006,5.696610361,0.910963509,290.1259883
3.434,3.434,1,1,1,0.25,28.82380411,5.686574616,0.909902621,289.6148719
3.435,3.435,1,1,1,0.25,28.82362101,5.675774813,0.909007639,289.0648425
3.436,3.436,1,1,1,0.25,28.82407624,5.66462744,0.908353813,288.4971114
3.437,3.437,1,1,1,0.25,28.82411396,5.653940607,0.908642374,287.9528355
3.438,3.438,1,1,1,0.25,28.82347628,5.64390067,0.909767281,287.4415057
3.439,3.439,1,1,1,0.25,28.82306427,5.633810535,0.9102742,286.9276193
3.44,3.44,1,1,1,0.25,28.82288508,5.6232756,0.909612942,286.3910795
3.441,3.441,1,1,1,0.25,28.82294226,5.612899177,0.908425953,285.8626126
3.442,3.442,1,1,1,0.25,28.82301584,5.60257351,0.907478277,285.3367307
3.443,3.443,1,1,1,0.25,28.82291209,5.592193361,0.906793308,284.808074
3.444,3.444,1,1,1,0.25,28.82276252,5.581839476,0.90614263,284.280755
3.445,3.445,1,1,1,0.25,28.82229183,5.571432877,0.90603821,283.7507513
3.446,3.446,1,1,1,0.25,28.82222468,5.561159365,0.906928554,283.2275255
3.447,3.447,1,1,1,0.25,28.82239521,5.551117193,0.907494128,282.7160819
3.448,3.448,1,1,1,0.25,28.82232033,5.540889781,0.907039121,282.1952041
3.449,3.449,1,1,1,0.25,28.8220224,5.52993929,0.905989874,281.6375002
3.45,3.45,1,1,1,0.25,28.82162808,5.518900976,0.905148368,281.0753234
3.451,3.451,1,1,1,0.25,28.82129624,5.508673377,0.904641934,280.5544361
3.452,3.452,1,1,1,0.25,28.82101964,5.498589482,0.903834552,280.0408675
3.453,3.453,1,1,1,0.25,28.82091524,5.488263536,0.903353002,279.5149714
3.454,3.454,1,1,1,0.25,28.82099701,5.477628019,0.904085785,278.9733089
3.455,3.455,1,1,1,0.25,28.82068725,5.467001069,0.905024149,278.4320829
3.456,3.456,1,1,1,0.25,28.82037899,5.456616357,0.905114841,277.9031938
3.457,3.457,1,1,1,0.25,28.82007826,5.446393136,0.904481355,277.3825294
3.458,3.458,1,1,1,0.25,28.81985242,5.436533969,0.903532747,276.8804061
3.459,3.459,1,1,1,0.25,28.81984329,5.426573381,0.90247307,276.3731175
3.46,3.46,1,1,1,0.25,28.81950838,5.415929854,0.901392382,275.8310472
3.461,3.461,1,1,1,0.25,28.81933246,5.405219086,0.900874138,275.2855522
3.462,3.462,1,1,1,0.25,28.81928934,5.394432414,0.901764259,274.7361915
3.463,3.463,1,1,1,0.25,28.81931318,5.383464321,0.902875233,274.1775911
3.464,3.464,1,1,1,0.25,28.8193604,5.372973159,0.902818665,273.6432806
3.465,3.465,1,1,1,0.25,28.81891755,5.362859555,0.9017637,273.128199
3.466,3.466,1,1,1,0.25,28.81839285,5.352636613,0.90053156,272.6075488
3.467,3.467,1,1,1,0.25,28.81815061,5.342368037,0.899573043,272.0845745
3.468,3.468,1,1,1,0.25,28.81825399,5.332157668,0.898890551,271.5645647
3.469,3.469,1,1,1,0.25,28.81843485,5.321692582,0.898545906,271.0315822
3.47,3.47,1,1,1,0.25,28.81813766,5.310481787,0.8991988,270.4606211
3.471,3.471,1,1,1,0.25,28.81767144,5.298831873,0.90012962,269.8672958
3.472,3.472,1,1,1,0.25,28.81750474,5.288293492,0.900255516,269.3305805
3.473,3.473,1,1,1,0.25,28.81750641,5.278566293,0.899513811,268.8351784
3.474,3.474,1,1,1,0.25,28.81734418,5.268581957,0.898557827,268.3266803
3.475,3.475,1,1,1,0.25,28.81675866,5.258035287,0.897670072,267.7895428
3.476,3.476,1,1,1,0.25,28.81616093,5.246858206,0.89677887,267.2202987
3.477,3.477,1,1,1,0.25,28.8160529,5.235776026,0.896116383,266.6558879
3.478,3.478,1,1,1,0.25,28.81625472,5.225032475,0.896541681,266.1087233
3.479,3.479,1,1,1,0.25,28.81658347,5.214282405,0.897474755,265.5612267
3.48,3.48,1,1,1,0.25,28.81618366,5.203249492,0.897705052,264.9993251
3.481,3.481,1,1,1,0.25,28.81500423,5.192232598,0.897121076,264.4382393
3.482,3.482,1,1,1,0.25,28.81433284,5.181642156,0.896231253,263.8988725
3.483,3.483,1,1,1,0.25,28.81444572,5.171357933,0.89522507,263.3751013
3.484,3.484,1,1,1,0.25,28.81498821,5.161191337,0.894168876,262.8573208
3.485,3.485,1,1,1,0.25,28.81498905,5.150290485,0.893352237,262.302145
3.486,3.486,1,1,1,0.25,28.8145721,5.13895601,0.893780421,261.7248849
3.487,3.487,1,1,1,0.25,28.81424595,5.127656553,0.894954577,261.1494083
3.488,3.488,1,1,1,0.25,28.81405205,5.11633968,0.895394459,260.5730446
3.489,3.489,1,1,1,0.25,28.81414974,5.105625838,0.894793402,260.0273931
3.49,3.49,1,1,1,0.25,28.8139727,5.095322616,0.893674009,259.5026544
3.491,3.491,1,1,1,0.25,28.8137476,5.084224511,0.892675947,258.9374325
3.492,3.492,1,1,1,0.25,28.81357642,5.072742328,0.891870297,258.3526497
3.493,3.493,1,1,1,0.25,28.81319709,5.061343219,0.891124103,257.7720978
3.494,3.494,1,1,1,0.25,28.81297683,5.050700717,0.891269557,257.2300796
3.495,3.495,1,1,1,0.25,28.81291518,5.039783008,0.89227505,256.6740453
3.496,3.496,1,1,1,0.25,28.81284598,5.028028786,0.892612375,256.0754077
3.497,3.497,1,1,1,0.25,28.81264202,5.01627354,0.891914554,255.4767179
3.498,3.498,1,1,1,0.25,28.81215392,5.005431268,0.890833363,254.9245255
3.499,3.499,1,1,1,0.25,28.81192444,4.995105881,0.889853351,254.3986579
3.5,3.5,1,1,1,0.25,28.81186064,4.984709527,0.889189765,253.8691759
3.501,3.501,1,1,1,0.25,28.81195797,4.974422604,0.888732243,253.3452672
3.502,3.502,1,1,1,0.25,28.81191177,4.963443056,0.888764858,252.7860834
3.503,3.503,1,1,1,0.25,28.81144853,4.951420985,0.889548622,252.1738043
3.504,3.504,1,1,1,0.25,28.81077593,4.939123522,0.890042204,251.5474997
3.505,3.505,1,1,1,0.25,28.81025914,4.927886836,0.889626127,250.97522
3.506,3.506,1,1,1,0.25,28.81033551,4.917527083,0.888637658,250.4476021
3.507,3.507,1,1,1,0.25,28.81053537,4.907232337,0.887658093,249.9232949
3.508,3.508,1,1,1,0.25,28.810181,4.896349739,0.886977557,249.3690488
3.509,3.509,1,1,1,0.25,28.80948903,4.884213954,0.886296984,248.7509783
3.51,3.51,1,1,1,0.25,28.8091193,4.871855304,0.886107795,248.1215574
3.511,3.511,1,1,1,0.25,28.80927846,4.860108346,0.886785425,247.5232897
3.512,3.512,1,1,1,0.25,28.80953262,4.848291632,0.887388121,246.9214694
3.513,3.513,1,1,1,0.25,28.80934915,4.836726282,0.887230895,246.332451
3.514,3.514,1,1,1,0.25,28.80887548,4.825798422,0.886429586,245.7758996
3.515,3.515,1,1,1,0.25,28.80851459,4.814675637,0.885343067,245.2094208
3.516,3.516,1,1,1,0.25,28.80851738,4.803230427,0.884219296,244.6265211
3.517,3.517,1,1,1,0.25,28.80874015,4.792029411,0.883252267,244.056058
3.518,3.518,1,1,1,0.25,28.80873773,4.780836776,0.882873647,243.4860218
3.519,3.519,1,1,1,0.25,28.80849829,4.769547284,0.883735791,242.9110526
3.52,3.52,1,1,1,0.25,28.80812259,4.757730104,0.884614177,242.3092086
3.521,3.521,1,1,1,0.25,28.80762555,4.746068921,0.884541459,241.7153094
3.522,3.522,1,1,1,0.25,28.80743248,4.734295607,0.88352384,241.1156994
3.523,3.523,1,1,1,0.25,28.8072777,4.722562898,0.882314388,240.5181575
3.524,3.524,1,1,1,0.25,28.80714135,4.711093288,0.881331787,239.934015
